Method,Samples,Input,sAP5,sAP10,sAP15,msAP
LLGD,154,Event stream,1.4959576728657649,2.6630782175306837,3.6476370112293752,2.602224300541941
FE-HAWP,154,Blurred frame + event stream,60.319687189036785,64.89771159362982,66.58068004728088,63.93269294331583
FE-ULSD,154,Blurred frame + event stream,59.48837394215786,64.40918086537872,66.38405229127056,63.42720236626905
