Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,2,Event retention = 50%,Sparsity,retention,0.5,4,2813,85,8,0.0565853658536585,0.384105960264901,0.0986394557823129,0.0518783542039356,NaN,0.413793103448276,0.615894039735099,0.1430405
urban_events,2,Event retention = 50%,Sparsity,retention,0.5,5,2813,83,11,0.159803921568627,0.599264705882353,0.252321981424149,0.144375553587245,1,0.104294478527607,0.400735294117647,0.1602646
urban_events,2,Event retention = 75%,Sparsity,retention,0.75,1,4220,86,24,0.059469941822883,0.282208588957055,0.0982381206620395,0.051656372824256,NaN,0.391304347826087,0.717791411042945,0.2437311
urban_events,2,Event retention = 75%,Sparsity,retention,0.75,2,4220,87,22,0.0585614258434118,0.292993630573248,0.0976127320954907,0.0513106525376464,NaN,0.369565217391304,0.707006369426752,0.2397198
urban_events,2,Event retention = 75%,Sparsity,retention,0.75,3,4220,86,21,0.0582842174197773,0.25,0.0945300053106745,0.0496098104793757,NaN,0.438202247191011,0.75,0.2289476
urban_events,2,Event retention = 75%,Sparsity,retention,0.75,4,4220,86,22,0.052937378954164,0.234285714285714,0.086361242759347,0.0451293340671436,NaN,0.329268292682927,0.765714285714286,0.2679494
urban_events,2,Event retention = 75%,Sparsity,retention,0.75,5,4220,86,25,0.169112954690491,0.531062124248497,0.256534365924492,0.147140477512493,1,0.135849056603774,0.468937875751503,0.2814913
urban_events,2,Added events = 5%,AddedEvents,added-event ratio,0.05,1,5907,88,37,0.0564476885644769,0.202797202797203,0.0883136657784545,0.0461967343687774,NaN,0.344827586206897,0.797202797202797,0.4368917
urban_events,2,Added events = 5%,AddedEvents,added-event ratio,0.05,2,5907,88,40,0.0554744525547445,0.193548387096774,0.086232980332829,0.0450592885375494,NaN,0.342105263157895,0.806451612903226,0.3880272
urban_events,2,Added events = 5%,AddedEvents,added-event ratio,0.05,3,5907,88,38,0.0710462287104623,0.237012987012987,0.109322351179334,0.0578217821782178,1,0.287671232876712,0.762987012987013,0.3908265
urban_events,2,Added events = 5%,AddedEvents,added-event ratio,0.05,4,5907,88,37,0.0569343065693431,0.203478260869565,0.0889733840304182,0.0465578989255869,NaN,0.341880341880342,0.796521739130435,0.382731
urban_events,2,Added events = 5%,AddedEvents,added-event ratio,0.05,5,5907,88,41,0.078345498783455,0.236764705882353,0.117733089579525,0.0625485625485625,1,0.304347826086957,0.763235294117647,0.3619163
