Dataset,Method,N,LLGDMeanF1,MethodMeanF1,MeanPairedDifference,CI95Lower,CI95Upper,LLGDWins
shapes_6dof_events,ST,30,0.627064192599971,0.387032404424535,0.240031788175437,0.190519670480961,0.288528851824032,27
shapes_6dof_events,ELiSeD,30,0.627064192599971,0.484525916883371,0.1425382757166,0.109060185386213,0.175769165521156,27
shapes_6dof_events,LE-calib,30,0.627064192599971,0.546880350602303,0.080183841997668,0.0381242599903135,0.115569963657625,25
urban_events,ST,30,0.300962712574371,0.124449947584448,0.176512764989923,0.122033811725823,0.231463005545203,26
urban_events,ELiSeD,30,0.300962712574371,0.0938637681106367,0.207098944463734,0.148812548458774,0.265978677372789,29
urban_events,LE-calib,30,0.300962712574371,0.327092683336015,-0.0261299707616444,-0.0753102010153004,0.0209632396271392,14
office_spiral_events,ST,30,0.401844588369054,0.0955430337477289,0.306301554621326,0.269592061735361,0.339681766127317,29
office_spiral_events,ELiSeD,30,0.401844588369054,0.190447092545998,0.211397495823057,0.167469844640728,0.254355053611744,29
office_spiral_events,LE-calib,30,0.401844588369054,0.383302219581762,0.018542368787292,0.000907124791148036,0.0343014370053315,21
hqf_boxes_events,ST,30,0.456591522353553,0.151400115960156,0.305191406393397,0.258656453703442,0.349798242352516,29
hqf_boxes_events,ELiSeD,30,0.456591522353553,0.359140853589583,0.0974506687639705,0.0622388431027488,0.132399488849456,27
hqf_boxes_events,LE-calib,30,0.456591522353553,0.448334261092576,0.0082572612609776,-0.0243343301628018,0.0372995269459609,18
