Tick,Events,Seconds
0,0,2.5554999999999998e-05
1,0,1.0304e-05
2,18,1.6646999999999998e-05
3,488,0.00052896499999999995
4,440,0.0012734440000000001
5,429,0.002047933
6,334,0.0024108049999999998
7,362,0.0031305500000000002
8,379,0.0027225090000000001
9,419,0.0035771140000000002
10,352,0.0032274560000000001
11,331,0.003438455
12,369,0.003495518
13,377,0.003060279
14,350,0.0030217690000000001
15,305,0.0030908979999999999
16,259,0.0031981790000000002
17,285,0.0034908510000000001
18,275,0.0033400169999999998
19,256,0.0029663129999999999
20,239,0.0031352149999999998
21,216,0.0034722580000000002
22,212,0.0032416350000000001
23,217,0.0031596580000000001
24,237,0.0030785550000000002
25,259,0.0034210260000000002
26,212,0.0033331559999999999
27,260,0.0045122019999999999
28,220,0.0029670489999999998
29,215,0.0029032760000000002
30,287,0.0026683689999999999
31,209,0.002690249
32,191,0.0031854650000000002
33,206,0.0027623259999999998
34,206,0.0026056690000000001
35,165,0.0026475890000000001
36,224,0.0025143349999999999
37,303,0.0026688570000000002
38,256,0.0029845290000000001
39,262,0.0028260999999999998
40,233,0.0025148219999999999
41,266,0.0025529530000000002
42,287,0.00248927
43,290,0.0024371950000000001
44,311,0.0026989280000000002
45,305,0.0024428829999999999
46,279,0.0023729509999999999
47,460,0.0024670830000000001
48,374,0.0024268169999999999
49,398,0.002638563
50,432,0.0031226219999999998
51,406,0.0028406880000000001
52,443,0.0024304930000000001
53,413,0.0024134339999999999
54,458,0.0024202360000000001
55,494,0.002452676
56,423,0.0024571900000000002
57,460,0.0034728160000000001
58,548,0.0024223920000000002
59,385,0.0027814210000000001
60,406,0.0028196419999999998
61,381,0.0024909720000000002
62,407,0.0026298580000000001
63,438,0.0038854879999999999
64,402,0.0025549850000000001
65,367,0.0027545260000000002
66,356,0.0023920220000000002
67,366,0.0023261950000000001
68,330,0.0022897680000000002
69,325,0.002631314
70,342,0.002289386
71,294,0.0023624760000000001
72,320,0.0022800400000000001
73,314,0.0025438129999999998
74,324,0.002459611
75,275,0.002188925
76,270,0.0024857669999999998
77,271,0.0022245379999999999
78,268,0.0022468779999999999
79,299,0.0021575520000000001
80,314,0.0029553309999999998
81,284,0.0025533890000000001
82,265,0.0021896730000000001
83,333,0.0023486539999999999
84,309,0.00217476
85,297,0.0022830279999999999
86,272,0.0023250039999999999
87,274,0.0022010710000000002
88,225,0.002221448
89,257,0.0022266270000000001
90,256,0.00256522
91,235,0.002255908
92,168,0.0021505090000000001
93,252,0.002259633
94,273,0.0022038159999999999
95,188,0.0021985669999999998
96,218,0.002214906
97,188,0.0023504620000000002
98,136,0.0032865939999999999
99,167,0.0027000869999999999
100,101,0.0024545349999999999
101,87,0.0024471419999999998
102,73,0.0022152270000000002
103,68,0.0022802920000000002
104,79,0.002796317
105,70,0.003768385
106,166,0.002852669
107,123,0.0027982369999999999
108,155,0.0024342510000000001
109,187,0.0022640210000000002
110,236,0.0026315980000000002
111,246,0.0026608180000000001
112,228,0.0024525129999999999
113,280,0.002970398
114,317,0.0026056959999999998
115,321,0.0021362949999999999
116,396,0.0026282190000000002
117,476,0.0023110819999999999
118,414,0.002454061
119,429,0.00274282
120,433,0.0022527250000000001
121,474,0.002431908
122,449,0.0029476680000000001
123,464,0.0027423109999999999
124,503,0.0023594940000000002
125,478,0.0027485819999999998
126,482,0.0025940070000000002
127,479,0.0026830669999999999
128,499,0.00254558
129,550,0.0041949580000000004
130,509,0.0027001260000000002
131,561,0.0022645569999999999
132,503,0.0023105489999999998
133,545,0.0021735460000000002
134,579,0.0022282539999999998
135,568,0.00230314
136,586,0.0025382360000000001
137,558,0.0022276459999999998
138,518,0.0023896759999999999
139,587,0.0022220489999999998
140,657,0.0022051509999999998
141,624,0.002441936
142,668,0.0029110210000000002
143,632,0.0032863739999999999
144,631,0.0028112129999999999
145,650,0.0026505029999999998
146,574,0.00243231
147,580,0.0025554200000000001
148,611,0.0022175070000000001
149,560,0.002680296
150,572,0.002873273
151,552,0.002844807
152,606,0.0028954559999999998
153,562,0.0026494729999999998
154,433,0.0022444729999999999
155,471,0.002294127
156,417,0.0022226120000000001
157,461,0.002285362
158,451,0.0022636209999999999
159,370,0.0025263109999999998
160,367,0.002898697
161,341,0.002812447
162,364,0.0025837899999999999
163,488,0.0023049429999999998
164,346,0.0023159589999999998
165,421,0.002389562
166,473,0.0024610970000000002
167,399,0.002697872
168,418,0.003063545
169,422,0.0031518319999999998
170,431,0.002557681
171,446,0.0029016139999999998
172,416,0.002782152
173,483,0.0025123260000000001
174,421,0.0026284300000000002
175,526,0.00260699
176,496,0.0023862110000000001
177,459,0.0026153270000000002
178,513,0.0021485530000000001
179,566,0.0022911590000000001
180,508,0.0023415340000000001
181,472,0.002741874
182,520,0.0027833179999999999
183,533,0.0024618729999999998
184,484,0.0025361099999999998
185,460,0.0024633810000000002
186,551,0.002080723
187,519,0.0020814319999999998
188,530,0.002135765
189,548,0.0023505140000000002
190,521,0.0021902610000000002
191,433,0.0020119780000000002
192,475,0.0020286760000000001
193,418,0.002129527
194,416,0.0020956989999999999
195,408,0.0023897340000000001
196,422,0.002832645
197,394,0.002280425
198,419,0.0020083319999999998
199,370,0.0020241999999999999
200,336,0.0020100309999999998
201,320,0.002106779
202,283,0.002173248
203,294,0.0022693380000000001
204,293,0.0020956439999999998
205,270,0.0020162689999999998
206,269,0.002014924
207,204,0.0019654109999999998
208,268,0.0022183849999999998
209,233,0.0020213269999999998
210,216,0.0020444819999999998
211,174,0.0022532670000000002
212,196,0.0024920770000000001
213,160,0.0023448700000000002
214,155,0.0023120789999999999
215,164,0.0023394069999999999
216,145,0.0022292100000000001
217,161,0.0029266489999999999
218,181,0.0043466829999999996
219,219,0.0022635400000000001
220,223,0.0025336339999999999
221,290,0.0022250989999999999
222,335,0.0022668129999999999
223,335,0.002692496
224,365,0.0032146509999999998
225,383,0.0021006689999999999
226,369,0.0021121239999999999
227,422,0.0019421390000000001
228,338,0.0021070770000000002
229,306,0.0020905429999999998
230,344,0.0032642919999999998
231,387,0.0025875070000000002
232,310,0.0020133019999999998
233,261,0.0019202729999999999
234,307,0.001865926
235,325,0.0018740499999999999
236,313,0.001912539
237,337,0.0019799150000000001
238,337,0.001867121
239,333,0.0021162590000000001
240,346,0.0025077369999999999
241,328,0.0024970219999999998
242,388,0.0021214950000000002
243,377,0.002196038
244,421,0.0023114659999999999
245,463,0.002412286
246,376,0.0020055839999999999
247,385,0.0019404890000000001
248,443,0.0022022790000000001
249,425,0.0019962159999999999
250,531,0.0019895580000000002
251,498,0.003255282
252,506,0.0025146349999999999
253,543,0.0025290859999999998
254,506,0.0023764279999999999
255,579,0.002193534
256,547,0.0024456920000000002
257,534,0.0026584790000000001
258,529,0.0024806469999999999
259,555,0.0023156140000000001
260,532,0.0051663569999999999
261,554,0.0019695340000000002
262,516,0.0020954709999999998
263,515,0.0018508229999999999
264,482,0.0022630739999999999
265,468,0.0023136070000000001
266,450,0.003024625
267,477,0.002580737
268,551,0.0022016000000000002
269,456,0.0018743270000000001
270,424,0.0019951690000000002
271,453,0.0022941120000000001
272,418,0.002138245
273,455,0.002445039
274,440,0.002948666
275,396,0.002097996
276,366,0.0025257859999999999
277,387,0.0022474909999999999
278,372,0.002342214
279,353,0.0023913210000000001
280,330,0.0023847460000000001
281,282,0.002451352
282,317,0.0022626040000000001
283,281,0.002553877
284,253,0.0022749340000000002
285,278,0.0018351610000000001
286,211,0.001758438
287,174,0.0018134329999999999
288,190,0.0019300809999999999
289,206,0.0023652949999999999
290,149,0.0020717370000000001
291,154,0.0019212159999999999
292,141,0.0018715610000000001
293,105,0.001929039
294,120,0.0023417059999999998
295,123,0.0020131239999999998
296,118,0.0021067109999999998
297,100,0.0022442510000000001
298,99,0.0024611440000000002
299,92,0.0023630280000000001
300,97,0.0021152100000000002
301,113,0.0023243690000000002
302,125,0.0022667220000000001
303,132,0.002817632
304,140,0.0027326070000000002
305,195,0.0020254959999999999
306,250,0.001960009
307,191,0.001881303
308,225,0.002030025
309,222,0.0019962130000000002
310,279,0.0019769369999999998
311,303,0.0025648609999999999
312,349,0.0024468110000000001
313,349,0.0024409919999999999
314,353,0.0034164019999999998
315,381,0.001945303
316,365,0.002043062
317,372,0.0022731959999999999
318,406,0.00339763
319,333,0.0020880320000000001
320,316,0.0027609029999999999
321,325,0.0021330419999999999
322,342,0.002183595
323,377,0.002110097
324,250,0.0023517870000000001
325,274,0.0022426080000000001
326,270,0.0021550950000000001
327,221,0.0033059700000000001
328,209,0.0054813290000000001
329,158,0.0025246779999999998
330,172,0.0025686049999999998
331,172,0.0028283539999999999
332,174,0.0026226499999999998
333,222,0.0039684280000000004
334,261,0.0028234919999999999
335,200,0.0023858629999999998
336,267,0.0022958309999999999
337,306,0.0026736730000000001
338,321,0.0026101079999999999
339,312,0.0023715659999999999
340,306,0.0025380820000000001
341,333,0.0024910800000000001
342,293,0.002568912
343,283,0.0022999959999999999
344,305,0.0019851600000000001
345,274,0.001878975
346,257,0.0019524799999999999
347,291,0.0020307379999999998
348,286,0.0019900759999999999
349,253,0.002171966
350,262,0.0028254619999999999
351,204,0.0020198019999999998
352,198,0.002323463
353,204,0.0022608720000000001
354,171,0.0023228810000000002
355,185,0.0023441730000000002
356,186,0.0023223940000000002
357,173,0.0024710180000000002
358,195,0.001933906
359,158,0.0023644220000000001
360,236,0.002334479
361,173,0.0025424929999999998
362,214,0.0018304840000000001
363,212,0.0019179690000000001
364,191,0.001928976
365,220,0.0021469190000000002
366,229,0.0021085090000000002
367,338,0.0023374189999999999
368,483,0.0025531540000000002
369,314,0.0024347259999999999
370,373,0.0021085800000000001
371,454,0.002146406
372,364,0.0022259160000000001
373,427,0.0021072460000000001
374,432,0.0023563410000000001
375,394,0.0021943819999999999
376,476,0.0022366410000000001
377,381,0.0022896240000000001
378,503,0.0025271500000000001
379,484,0.0047610559999999996
380,477,0.002686417
381,547,0.0021922019999999999
382,478,0.002279784
383,504,0.0022636069999999999
384,498,0.002036815
385,488,0.0026156159999999999
386,556,0.0027633670000000001
387,534,0.0022871900000000001
388,523,0.0018647119999999999
389,601,0.0020066250000000002
390,499,0.001922623
391,538,0.0020497499999999999
392,558,0.00245744
393,526,0.0023207829999999999
394,537,0.002045584
395,544,0.001860883
396,583,0.0021928960000000002
397,521,0.0021736139999999999
398,443,0.0019061950000000001
399,498,0.0020263569999999999
400,585,0.0024385159999999999
401,458,0.0022262279999999998
402,366,0.0023828769999999998
403,432,0.0027578960000000001
404,380,0.002410471
405,364,0.002306266
406,427,0.0025420099999999999
407,324,0.0026928680000000002
408,329,0.0025037549999999999
409,332,0.0021595220000000001
410,304,0.0020215799999999998
411,306,0.002025144
412,295,0.0020214600000000001
413,313,0.0020380369999999999
414,325,0.0020704849999999999
415,316,0.0020436510000000001
416,340,0.0023894250000000001
417,374,0.0022235689999999999
418,282,0.0019105839999999999
419,303,0.0018961200000000001
420,397,0.002275085
421,416,0.0020870200000000002
422,415,0.0021981449999999999
423,440,0.0022924479999999999
424,497,0.002127369
425,615,0.001886874
426,760,0.0018257550000000001
427,693,0.0019493990000000001
428,610,0.0020061329999999998
429,841,0.0019088899999999999
430,802,0.002217906
431,797,0.0025452280000000001
432,824,0.0021889499999999998
433,865,0.00191001
434,938,0.00191249
435,902,0.0019803529999999998
436,931,0.0019713339999999999
437,950,0.002139391
438,944,0.0020591049999999999
439,894,0.0023245509999999998
440,1092,0.0024030409999999999
441,1026,0.0022048520000000002
442,947,0.002322064
443,947,0.002581533
444,949,0.0023650780000000001
445,850,0.0021601060000000002
446,845,0.0028835969999999999
447,821,0.0024583069999999999
448,874,0.0022909689999999999
