Tick,Events,Seconds
0,1,1.2152e-05
1,162,0.000212334
2,216,0.000392204
3,255,0.00067210700000000002
4,212,0.00097491099999999996
5,191,0.001025944
6,236,0.00118502
7,303,0.0012788319999999999
8,272,0.0012431180000000001
9,245,0.0012570299999999999
10,224,0.0012153299999999999
11,234,0.0011841449999999999
12,1457,0.0027654329999999999
13,91,0.0016307730000000001
14,140,0.001861627
15,189,0.0019145270000000001
16,360,0.0020279690000000001
17,496,0.0019082560000000001
18,131,0.002183688
19,120,0.0021199080000000002
20,126,0.0021329220000000002
21,118,0.0020985079999999998
22,177,0.0022696470000000001
23,243,0.0022154890000000002
24,201,0.0083642160000000007
25,144,0.0078979840000000003
26,155,0.0027714060000000001
27,167,0.0021794409999999998
28,162,0.0018731170000000001
29,106,0.001727101
30,175,0.0021255319999999999
31,174,0.0018360570000000001
32,185,0.0016726950000000001
33,155,0.001851941
34,163,0.0016170150000000001
35,167,0.0016051939999999999
36,223,0.0016166520000000001
37,128,0.0014896880000000001
38,530,0.001716602
39,233,0.001581306
40,98,0.0017009799999999999
41,142,0.0016061580000000001
42,260,0.0017826929999999999
43,502,0.0016522469999999999
44,843,0.0016704249999999999
45,124,0.0015831580000000001
46,131,0.00151808
47,186,0.0015578079999999999
48,182,0.0015679139999999999
49,174,0.001534194
50,210,0.0016911129999999999
51,295,0.001545832
52,273,0.001550362
53,196,0.0015781390000000001
54,133,0.0020167179999999998
55,206,0.0019967460000000002
56,254,0.0018916289999999999
57,225,0.001922652
58,243,0.001758618
59,275,0.001613773
60,320,0.0017374020000000001
61,324,0.001804089
62,249,0.0018614040000000001
63,228,0.002227251
64,277,0.001894408
65,1532,0.0056276080000000001
66,146,0.0025092690000000002
67,113,0.0024921399999999999
68,166,0.0023885880000000001
69,325,0.0022658159999999999
70,395,0.0025724319999999999
71,492,0.0027173779999999999
72,176,0.002368069
73,147,0.0023611169999999998
74,106,0.0024215109999999999
75,172,0.002491573
76,185,0.0025822179999999998
77,195,0.0020349029999999998
78,169,0.0022239590000000002
79,202,0.0029374750000000002
80,261,0.0028006089999999999
81,163,0.002609175
82,131,0.002927533
83,144,0.0023091990000000001
84,190,0.0023170270000000001
85,174,0.002490333
86,144,0.0024329
87,219,0.0024217919999999999
88,285,0.0026432690000000002
89,216,0.0024634449999999999
90,135,0.0023075119999999998
91,174,0.0021718760000000001
92,658,0.002561434
93,242,0.002494914
94,94,0.002866478
95,145,0.0026776550000000001
96,515,0.0026450549999999999
97,524,0.002447065
98,144,0.0020493019999999998
99,113,0.0021274459999999999
100,159,0.0020895549999999999
101,138,0.0021437040000000002
102,118,0.0025923819999999998
103,246,0.0024707470000000001
104,338,0.0024183770000000002
105,203,0.0022826589999999998
106,131,0.0022621920000000001
107,167,0.0024270189999999999
108,221,0.0023711729999999999
109,236,0.0038107359999999999
110,140,0.0025317650000000001
111,207,0.002644511
112,235,0.0023535330000000001
113,272,0.002439255
114,195,0.0025043800000000001
115,201,0.0025791289999999999
116,181,0.0023017239999999998
117,302,0.0025113919999999999
118,231,0.0021065419999999999
119,833,0.0024998759999999998
120,136,0.0025394979999999998
121,189,0.002261496
122,170,0.0021785870000000001
123,465,0.0021838529999999999
124,1074,0.002095525
125,297,0.0023755820000000002
126,122,0.0023197119999999998
127,123,0.0019456569999999999
128,170,0.002364695
129,170,0.002129906
130,152,0.002465376
131,195,0.0022612470000000001
132,228,0.0019859320000000001
133,286,0.001919065
134,170,0.0018548670000000001
135,145,0.0019565870000000001
136,139,0.0025855930000000002
137,176,0.0032555169999999999
138,143,0.0024394249999999998
139,128,0.0021923160000000001
140,153,0.0019231949999999999
141,216,0.0018786429999999999
142,184,0.0018822719999999999
143,134,0.0020267660000000002
144,142,0.002117023
145,116,0.0032413149999999998
146,945,0.0026658570000000002
147,62,0.0024321099999999999
148,111,0.0023035849999999999
149,98,0.0019594339999999999
150,371,0.0019172950000000001
151,293,0.0020801779999999998
152,134,0.0027955179999999999
153,125,0.00212553
154,122,0.0019804810000000001
155,116,0.0019802769999999999
156,239,0.002034709
157,305,0.001894546
158,167,0.0019908149999999999
159,201,0.0019015449999999999
160,198,0.0020166210000000001
161,214,0.001927724
162,276,0.0019818259999999999
163,163,0.002126986
164,205,0.0024169980000000001
165,236,0.002136715
166,265,0.0020513699999999998
167,206,0.0020733209999999999
168,203,0.002289588
169,293,0.0022247640000000002
170,361,0.0018448189999999999
171,215,0.0031705050000000001
172,741,0.0049653290000000001
173,182,0.0043852159999999999
174,128,0.00245926
175,125,0.0024636110000000001
176,315,0.00253133
177,454,0.0025149299999999999
178,790,0.0025076550000000001
179,84,0.0031545969999999999
180,106,0.0028114580000000002
181,142,0.002245904
182,121,0.002460594
183,157,0.0023432599999999998
184,269,0.0021995650000000001
185,270,0.002312756
186,272,0.002486818
187,175,0.001987693
188,143,0.0034313030000000001
189,181,0.002533666
190,206,0.0020584930000000002
191,183,0.0018487320000000001
192,190,0.0018411059999999999
193,284,0.0055290290000000004
194,279,0.003235548
195,215,0.0019338630000000001
196,183,0.0022178670000000001
197,224,0.002246147
198,248,0.001889726
199,790,0.0023240169999999998
200,134,0.0022820420000000002
201,182,0.0019524919999999999
202,222,0.0019044190000000001
203,410,0.0019996850000000002
204,613,0.0020324430000000001
205,476,0.0020804410000000001
206,172,0.0019034150000000001
207,142,0.002043783
208,156,0.0021960529999999999
209,207,0.0021224019999999998
210,248,0.0021909410000000001
211,161,0.0021185259999999999
212,204,0.0021968539999999998
213,188,0.0020857290000000001
214,238,0.0022144600000000001
215,127,0.0031711719999999999
216,129,0.0022164329999999999
217,147,0.002113593
218,211,0.0021352849999999998
219,176,0.0020871660000000001
220,137,0.0019992870000000002
221,174,0.0059986329999999997
222,198,0.0022360090000000002
223,235,0.0022520650000000001
224,166,0.0022855689999999999
225,141,0.0023277409999999999
226,1062,0.0026362820000000002
227,82,0.0029483560000000001
228,93,0.002774459
229,113,0.002969186
230,417,0.0025994849999999999
